Title,Content,Mental Condition
Question,"I was offered a position at a new lab, because the one I am working for has brought such a negative impact on my life that I had to take a stress leave for months. I'm not happy with the offer, even know my family has expressed their happiness over it, it made me cry because I'm not happy starting this over again. I've been so depressed it's made me ill in the stomach. 
I'm a slow learner and after a year I'm still making errors. It's a very hard job. And it wasn't fun. I am getting counseling soon, so I feel I need to reevaluate things but I don't have enough time. 
Should I just be realistic and just...buckle down and do the job? I'm living at home right now. 
Thank you for reading.",depression
New here and first post,"Hello, 
I have just discovered this website few days ago and has taken me until now to post something. I have mild to severe depression and anxiety disorder. 
My depression hits a few days to a month at a time, and I do have coping mechanisms that help me when it's mild (my anxiety isn't as bad like it use to be years back). I also take medication morning and night. 
To start off on my first post, I'm curious to know how others here do to cope? All I've ever known was to sit it out an sleep. I have done self harm on myself few times, but I blank out when it happens. I can't make my family understand what I'm going through, so I hope to reach out here without judgement. Thank you for reading.
",depression
My lies fuel my depression and vice versa,"I've so good at hiding in plain sight...but my lies lately have led me to a fianancial and marital breakdown--in turn I lost my job after 9 years in in May and as a result , my depression is tuning me into knots---I dont know what to do--Is a inpatient stay helpful?

I'm at a crossroads ad I'm stuck",depression
Okay so I’m back (Off topic),"Hey guys it's been a long time some of you may remember me some of you might not I feel like I owe an explanation of why I disappeared 3 years ago and just didnt return.
i was struggling really badly mentally my ex partner was an abuser she beat me broke,my ribs,nose,hit me with a frying pan and broke my wrist and has pretty much broken every relationship Ive have had since her she mentally abuses me uses my daughter as a weapon she's rang me every hr for 3 nights running before  from 9pm till 6 am just ring ring she's got her friends to throw stuff at me out of cars hurl abuse at me so I turned to drink i spent most of the 3 years away drunk  I met Emily (future wife getting married December 4 we hope)And suddenly everything seemed brighter I knew my life was just beginning I'm finally doing ok first time since I was 9 I can't wait to move to the us and experience everything the states has to offer most importantly I get to do it with my soulmate 
so that's been my last 3 years I'm kinda glad to be back 

peace and love to you all
noname ",depression
Claustrophobic,"Someone posted about feeling Claustrophobic in Walmart and when I tried to reply, the site wouldn't let me. So, if you see this post I wanted to respond to your question. It doesn't sound like Claustrophobic as much as it sounds like Agoraphobia. I have that and can have panic attacks or high anxiety in crowded places. It wouldn't hurt to look into this. Wish I could have posted on your actual post and hope you see this. ",depression
CHANGE, I knew who I was this morning but I’ve changed a few times since then.,depression
More Bad News,"Well, just when I thought things couldn't get any worse, my grandfather passed away last night. I don't think it has really hit me yet and I don't really know that I have enough emotion left to deal with it honestly. He has had heart problems for a few years now but they got really bad in the past few months. He was admitted to the hospital early yesterday morning and they said he had pneumonia, his kidneys were failing and his blood pressure was 70/30. And also, because of coronavirus, nobody could go be with him since the visiting hours are only two hours per day, 1 family member per day. So my grandmother did not get to see him. 
And to make it worse, I have the worst ""best friend"" ever. We have been friends for 18 years and when I told her she said ""oh no, they shouldn't have brought him to the hospital, they should have just let him die at home. They had to know he wasn't going to make it."" which like, fine that can be your opinion, but also why is that the first thing you have to say to me when I just told you my grandfather died? I don't know, it just sucks because she is really the only friend that I have and she really isn't much of a friend. Just wish I could go to someone for support in real life instead of here for once.  ",depression
I need a break.,"Any more when i tell my family things i feel like i am speaking a foreign language. They ignore me, they ask ""what?"" If its as simple as telling my kid to sit while fishing on the boat they dont even acknowledge that i have spoken. I will repeat myself 2 -3 times before losing my cool and raising my voice and yelling it. To which all of them ask why i always yell.. Um. I didnt yell the first 3 times.. 
Whenever something happens (plans fall thru, store is out of some needed item, the pool is green, the kid gets in trouble for a bad decision) the blame is always turned on me! (Ex. Kid is hungry for dinner. I am putting dinner on the table. Kid throws a fit because they want to eat now not when daddy is ready, i get blamed.. The kid wouldnt be hungry if i would of fed them a better lunch.. Btw, the kids i refer to are 8 & 10)
when it comes to chores i am the one home so i should be doing it all.. No one else can help with laundry, cooking, cleaning, dishes... According to the kids its moms job and i am not gonna do it.. (Never mind the fact that they have had chores like putting their clean clothing away, unloading and loading the dishwasher, feeding and watering the animals)
ever since school went into the learning anywhere anytime i have been finding the kids watching you tube. They would waste hours watching videos if i was not constantly on them about doing other stuff. they throw fits constantly about having to shut it off. They fight and argue.. they try to sneak out of their rooms to play video games.. 
Whenever they dont get their way they feel the need to destroy something that isnt theirs.. (Husband included) 
I just need a break from all of this!  But thats not happening anytime soon.. 
To top all this off, i work as an aid in a school. I want to plan for school and work. But i cant do that till i know if my kids will get a 2, 3,or 5 day a week in person learning schedule.. I dont know what my work schedule will be.. its driving me crazy not knowing!! 

",depression
Job Hunting in the Pandemic,"I'm not handling job hunting the Pandemic very well.  I had a remote interview yesterday that I may have inadvertendly (unconsciouly) sabotaged because I have been in the house with quarantine since March and truly don't want to go back to work the classroom.  I have had one traumatic experience after the next in the classroom, and these news reports of young or middle age people dying in horriffic conditions is just paralyzing. I read these stories and just freeze up.  A handful of my friends have contracted the coronavirus, and while they recovered, it did sound pretty formidable.
The interview went alright, I was so nervous, and then they asked me the classic question of ""Why do you want to work here""? You would think that someone with so much experience would be able to answer such a simple question, but did I? No...I started to ramble and blab on and on and say stupid things like, ""I have never worked for a school this big before..."" It is probably one of the most important questions of the interview. 
While I liked the interviewers and learning more about the position, the truth is that I am not sure a huge, massive high school is for me. I used to work in a small environment.  I don't want to do after school activities or clubs. The position is semi-part time, so that seems ok, but I don't want to be exposed to a massive number of people on a constant basis. I had one interview for a remote position, and that is a company that I know why I want to work there, but they have not called back.
My gut says that though it does seem like a good place and that I may like the people, maybe it truly is not for me. I don't know. I've never had to think about Corona.
I am getting on a live call today about possibly enrolling in school. Maybe take this direction with my life? Can I afford it? I don't know.",depression
Pushing people away...,"Hey everyone, recently my depression has been impacting me more than usual and I find myself pushing people away, especially old friends.  I'm not quite sure if I've outgrown the friendships or if my depression is making me self-isolate.  Either way, I do feel depressed.
Anyone else have this problem?",depression
Overwhelming depression,"My depression is becoming overwhelming.  I am not going to work at this point.  I wake up so depressed that I can't stand the pain.  This has been going on a long time and it's getting worse.  I am faced with deciding about retiring from a job I need but that I can barely do.  
I have been let down the my doctor, the suicide hotline and my counsellor.  I'm really desperate.  I don't know what to do.  The little distraction stuff doesn't work.  I'm broken.  My life is broken.  It's just reality.  I need someone to help me.  I have no friends or relationship.  I WANT to die to end the pain but my body still keeps going.  Makes no sense.  ",depression
NewHere and First Post,"Hello. I am new to this online support group thing. I suffer from mild to severe depression. It can last a few days to months at a time. I have ways of dealing and coping on my own, but find that talking helps a lot too. I don't always have access to my therapist and COVID-19 has made that more of a challenge. Today is an ok day. My family is not here to keep my mind busy and I feel myself sinking. I guess my biggest question right now is how has this forum helped you? Any and all suggestions are welcome. Thank you!",depression
Sad,Woke up this morning with an overwhelming feeling of sadness and loniness although I'm not really alone I feel like I am,depression
The bad side of hoping,"I read something on my phone today that I thought was interesting.  I've been extremely depressed lately, very frequent thoughts of suicide, barely getting around.  I was looking on my phone aimlessly and saw this article about the freedom in giving up hope. Can't remember exactly where I saw it.  Kind of made sense to me. said sometimes if you give up hope on something that isn't going well anyway that can be freeing. 
I thought of some of the things that I had or do hope for that aren't going well;  finding friends in real life, owning home or having long term financial security, finding a partner, having good health and losing weight, etc.  big things.  i started to imagine what it would feel like if i gave up hope on those things one by one.  I can't say it made me feel happy, in fact it made me feel pain, but instead of feeling anxious and guilty and responsible and stressed in addition to the pain, I just felt the pain.  It was kind of a feeling of relief in some ways.  I guess I felt like it was somewhat of an improvement.
I just thought I'd share that in case it was of use to anyone.  I think it must be something about letting go and not expecting so much and all that.  Another example is my job.  My job really sucks.  If i accept it is never going to get better and I probalby should just leave that gives me a little feeling of relief.  Even if it's wrong financially and practically and all that, I feel like giving up on it is somehow healthier and much easier for me than constantly trying to make it work and hoping it will work.
Another example for me.  I have had a hopeless crush on this man for about 8 years.  I know he isn't interested in me so I don't have to give up on that but sometimes I feel bad about myself for still liking him.  When I think about giving up hope on not liking him, I feel a little better.  Yea, so I am always going to have a hopeless crush, so what.  I feel a little less bad about myself if I stop judging myself so harshly for it.
I don't know this is probaby stupid.  Forgive me.  I feel like I'm going insane.   ",depression
Feeling Like A Loser,"It's been awhile since i've posted anything on here. Ive had a rough week. So i had a job, got fired back in October of last year. I got fired for BS reasons. I was working at Acme, a grocery store. I was told the reason was my lack of hustle. I got no warnings, write ups nothing. I wasn't spoken to about my job performance. I knew i had to do better. I thought i was improving. I said this to make sense of what i'm about to say. So a little after i got fired i got a match on Tinder a week or two after. She asked me what i do for a job. I told her i was recently fired from a job. I had an interview on Monday i told her. She than says it's getting late i'm going to bed. That's the last time i spoke to her. So this happened again this week. I thought this girl was different. I was wrong. So i messed up. I never intended to ask her what she does for a living. I meant to ask what she did for the weekend. But it came out as what does she do for a job. So i tell her that i wasn't proud of my situation. That i had a job, got screwed. Said i been looking for work, had a few interviews but no luck. That was on Tuesday. I don't know what to do anymore. ",depression
Don't let me get me,"I'm having a really hard time recently, I can't sleep without having nightmares. In my nightmares everyone leaves me, kids, boyfriend(if I like someone) cause i mean lets get real i'm not healthy relationship material, I worry all the time that i will be alone and with my thoughts which i should be taking advantage of but don't. I'm making myself eat, my health is less then stellar and being stuck inside i am stuck with my thoughts which is not good at all cause it gives me time to obsess over these feelins i'm having. I would sleep but can't get away from my thoughts i feel like the world is playing one big joke on me. I am glad i have somewhere to let out my fears you know cause without this i would be lost cause my theme music would be Pink ""Don't let me get me"". If you could have a theme song what would yours be?",depression
New day,"Today is a new day time to keep moving forward, I'm just waking up because I couldn't sleep last night it's almost like I was so scared to sleep because of the dreams, I waited til almost 6 this morning so that I was so exhausted that I didn't dream. I'm going to quote a cartoon fish ""dory"" just keep swimming, just keep swimming. Smile so other dont see the cracks in my smile, I use to write poems maybe by trying to do that I'll let some of these faults to go away ",depression
Hi,"Just remember to breathe......it's not your fault......life hurts sometimes just because, if we didn't hurt we wouldn't know we were alive",depression
Praying for America Community Group,"Hi Everyone,

Hope you're managing your challenges during this strange time in our world. I also suffer from depression, so I understand your plight.

I wanted to make you aware of our new group here. Hope you'll check it out if you have a burrden for our country. Blessings.

Praying for America community group
https://www.dailystrength.org/group/chatting-christian-ladies ( the name has chaned of course)
",depression
Stressed and mind block,"I am a little stressed and don't know what is the right thing to do. My Mom has a blocked coronary artery blockage, and because of the block, blood is not passing into the left side of her heart. My Mom would normally need surgery to have a stent put in but the doctors are not keen because (a) risk of COVID infection in hospital, (b) higher risk of adverse events as Mom is now 84 years old, (c) Mom is afraid of hospital and/or surgeries. The doctors say that Mom will risk having a heart attack and/or developing heart failure if surgery is not done to restore blood to the left side of the heart. Mom has a little bit of dementia, but she is very active, likes to exercise, walking, climbing, gardening ---- all of these activities trigger chest pain and predispose her to heart attacks if she does not undergo surgery to restore blood flow to her heart. My Mom's side of the family, due to good genes, live to more than 100 years old. Mom is quite healthy if I overlook the coronary blockage and dementia. The doctors say if surgery is delayed, the stenting will be more risky if it is done later in her life. If Mom is not so active and live to the max, then having medications to treat the blockage is least invasive, but my Mom is THE original flower power feminist rebel who wants to do anything that she pleases, even if it kills her.
My siblings won't get involved and has dumped the responsibility of the decision on my laps. I want my Mom to be healthy, happy and has good longevity to enjoy life, but then there are the risks... I am unhappy that the doctors and my family lump this rock on my head? I wonder what are the pros and cons I have to consider to reap the best benefits but at minimal risks for my Mom? My brain is so stuffed, I cannot think this through clearly. I wonder if my friends on the forum have any ideas for me to arrive at a solution. Thank you so much.
",depression
Hurting,"I can't take this staying home, wearing masks if you need to go to the grocery store. I hate my life and older sister is so mean and hurtful. Nothing matters.  ",depression
Lonely....,"How is it that for some reason today I've felt the loneliness all the way to my bones, I dont feel well got my first kidney stone and evidently it's a big one. I was tired of just coming home and sitting so i reached out on social media and tried to make plans with any of my friends and didn't get one response so now I'm feeling lonely and let down. This has gotten so bad im not eating like I should, i feel hungry then when i go to eat something it has no flavor. So here I sit on a friday night by myself trying to make myself get up and fix me something for dinner but not wanting to actually do that. Feeling just plain useless",depression
I dislike myself among people,"I'm a sensitive guy with addiction issues.
I'm also a slagger. In Ireland we joke with people. Slag them. However I find I don't like this about myself. But I'm 50 so it's hard to change.
Perhaps a defense mechanism. I think I should just avoid people. Until I figure this out. Which is hard because I am sociable and I think talking to others is good. Misery loves company. Knocks the edges off.
",depression
Achy and Tired,"Hi all, I'm new here. I used Daily Strength when my husband died, in the Widow/Widower group. It was really helpful. Now I'm struggling with depression. I feel like I am improving slowly, but I've developed achy muscles and I'm feeling lethargic. I know this comes with depression but has anyone had this show up after months of dealing with depression? It's not BAD, but I find myself wondering why I'm having this now, when I thought I'd turned a corner. It's getting me down. I expected it to go away but it's going on 2 weeks now. Should I call my doctor? It seems lame...
",depression
Disassociation,"for the past few years on and off i have episodes where i dont feel alive. Everything around me feels like a dream. When i look in the mirror i don't recognize myself. I get so mentally numb to where i dont even feel any emotions, i feel disconnected from my family members. I constantly think to myself what is the point of being here if we all leave this place one day. No one lives forever. Life seems so pointless to me some days. Im a very unmotivated person. With having anxiety and panic disorder I know i need to do a lot more mental care than others to keep my anxiety levels low but i just cant seem to get out the bed even to just walk around the block. I guess what im saying is how does one get motivated enough to help themselves. And does it actually work. Will i ever feel better",depression
So depressed,"I am new to this particular group but not new to depression. I have had a huge worsening of my depression since covid started. I've gained weight, have zero motivation to do anything, lost interest in things I love. I've talked with my therapist and my doctor but I just feel stuck. 
Im so afraid of catching the virus (I have severe OCD) and my constant level of concern over it just sucks the joy out of everything. What is everyone here doing to manage? I just feel so alone with this even though I know so many others are suffering as well.",depression
Ok truthfully how ugly am I?,"
People always avoid me i feel like i am completely horrid but need actual opinions not the ""feel good"" ones people always give.
",depression
Meds to help with emotional rollercoaster?,"Anyone have any success with medication that helps tame your emotions?  Lately I've been a complete wreck.  I can't stop crying and I really need to keep it together. I am currently on Topamax, Wellbutrin and low dose of Gabapentin for major depressive disorder.  ",depression
Nothing Works,,depression
Is it just me or...,"He hello for those who dont know me, I'm 20 about to be 21 and I've struggled with depression ever since i was 10. I know that seems a little extreme but it's TRUE.  At the age of 18 almost 19 my 15 year old sister cienna passed away and that's when it spiked at an all time high depression, anxiety just shutting down unable to communicate with my family how I felt. And during my sisters death all having to think about moving to a new place with new faces make new friends and not know anyone is definitely another thing that is struggled. We are coming up on 2 years of my sisters passing and I have finally come to terms with the fact that I am depressed again always working avoiding my family and just very unsure and unhappy with life it self and I feel like i can never please or doing anything right to make others happen so I find joy In other place in my life, like going to work and seeing my coworkers or going out with my friend and spending money . I just dont know what to do and now having to move out my grandparents getting on my my cousin is even pissing me off because there certain odors he is not found of.... well neither am I buddy but I dont complain. But I guess that's just me please pray for me k need some prayers.",depression
My boyfriend is depressed,"A week or so ago I had posted about my boyfriend who has depression and how he is pushing everyone away, including me.  Things are progressing to a point to where I feel he is going to end the relationship.  He keeps saying he wants to leave everyone and get away from everything and has plans to go away for a few days and then wants to move away.  I am so tired of caring, being supportive and sacrificing my life for him.  Year after year its about him and here I am getting nothing and now I need to even sacrifice more because of him being depressed?  When he tells me he is leaving, I simply say okay, let me know when and if there is anything I can do to help.  I have researched how to treat someone with depression and basically its sacrificing your own needs to help them.  I have been for 6 years and I am exhausted!  I think he feels I come across as clingy and needy but its because I am bone dry!  I am thirsty for love and attention that I haven't gotten.  I just can't take it anymore.  Its like I have to be there for him when he needs me.  He can call or text anytime and Im there but if I need something, like just a call to say goodnight, I feel like a burden to him.  Im insecure all the time, especially since he says he's going to leave anytime.  I never know when that time is and I deal with daily anxiety because of it. Im not in a good place right now and my therapist says Im depressed.  Has anyone been through this with things actually getting better?  I just can't take it anymore.  Im tired of being the partner I wish someone was to me.  Im just a wreck right now.  ",depression
Just hopeless,"I'm a 28 yo female, im good looking, highly educated and cultured person, but people just seems to dislike me for whom I am, I also seem to fail at everything. I'm really tired of myself, I have hate myself all my life, being in therapy, multiple medication, nothings seems to help for more than a few days. I got divorced few months ago from a very abusive man who called me crazy and irrational all the time because I didn't want to do crystal meth or keep supporting him. I moved across the country to open my new business but im so scared im.going to fail, I tried online dating and it was even worst, people there made me feel.like garbage. I very luky i got 2 friends, but they are busy whit their careers ans relationships. 
I never thought I would find myself at 28 lonely, divorce, living out of my parents, just sad all the time... if it was not for my parents I would have kill myself long ago, I have fail to see the bright side of life, even tho I know im.lucky to have amazing parents and economic security.... and whit all is going on, I really don't want to keep going, I haven't been living during all my life, I been scrambling ans surviving thru my feelings... I sorry I know I sound like a breath wining but its how I have felt of my life and always failed to express it because people just point how easy my life has been (having loving parents ans financial support) 
Sorry for the ranting, but I guess annonimitt gives the relive to say what is in out minds and as sad as it is, I know plenty of people feel the same.

Sorry for the spelling. I'm dyslexic ans fail to see some.obvious mistakes ",depression
anger? (trigger?),"Anyone willing to lend some insight?
I've struggled with depression on and off for a long time, it's a chronic condition for me.  I have good times and bad times. I used to go to a support group with a coach, who quit a long time ago. He has come back to do zoom support groups during the pandemic. He is cool, and pretty popular with a lot of people.  I think I have changed, though, and in some ways I find him ineffective and in a passive way, harmful?  He is not a professional counselor but has a life-coach background.  He helped me after I came out of the hospital during unemployment at the time of the recession around 2008.  And here we go again with that...
He quit later on, I coached with him at that time for about two years.  It seemed with the issue of domestic violence that I was going through, he just could not handle it.  Ironically when he quit, and a coach in the community stepped up to take his place, she pushed me forward fast and insisted that I leave my abuse situation, and my life improved dramatically. He never did that. In retrospect, I often wondered while there was a ""feel good"" element to his groups, whether I or other people were truly making progress.
One of the things that I did when I got the stimulus money was a had a session via skype with a psychotherapist-an expert in her field. Within one hour, I was so amazed at how he was able to target and identify so many things. When I told her the severe physical abuse I went through in the past and the trouble with current relationships I have. She said, ""You really need to revisit and make sense of what happened, and realize that anger is helpful in moving past or not allowing others to abuse you.""
I had never thought about that, but I realized when I finally left my abuser for good after years and years, it was because, actually, I got so angry I put a complete end to all of his threats. My life was even in danger.  I also don't think holding on to anger and rage constantly is a good idea and to live that way is really destructive.  
(I also have a regular therapist)
I've been going to the coach's groups weekly online as this pandemic just drags on and on...but I've noticed something interesting. I see it differently now. He had been on hiatus for like four years. He admits at the beginning of every meeting lately that he has issues with his temper and curses, etc.  He doesn't realize that I actually drove past him one day and saw him flipping out in his car.  I've also noticed he makes comments ""on my anger"" every time I go to the zoom meeting.  Oddly, I'm not feeling really angry when I'm sharing. Mostly sad about what is going on. People who know me and my therapist have never told me that I need to do something about my anger. It just seems strange. I know when I get depressed it actually looks like I'm angry and can seem that way to people, but what's odd about the group is when I talk about what's bothering me (being unemployed and still on lockdown) he seems to get critical, and just tells me to be grateful.  I don't know...there was a lady there who was wronged by a doctor-he actuallly was hurting her. She had a frozen shoulder and he messed up, not treating her and hurting her worse. The coach responded with this 'happy happy response' and said, smiling, ""feel grateful for your other shoulder."" That didn't make a lot of sense. Wouldn't it make sense to be upset if a medical practitioner hurt you and you would want to do something about it?
I almost wonder because of what strikes me as a passive approach...to basically everything...is why I stayed in abuse for so long. As I look back, I realized that after a while our conversations were ineffective and it wasn't until someone else stepped in and demanded that I pull myself out of abuse, that things really changed. And that involved some SEVERE discomfort and anger.  Not permanent, though. My current therapist doesn't act like this...if I tell her something bad happened she helps me see how I can work to get past the bad feeling and take Action to change for the better (cognitive behavioral).  She doesn't try to shut me up and say, ""ok there is your anger again.""
Ironically, him telling me this...actually does make me angry. It reminded me of when my dad was beating me and said, ""you have an anger problem."" I also think he's kind of a hypocrite because he talks about his own times when he goes off on rages. He says I use anger to protect myself...I believe that is the idea, isn't it supposed to keep the wrong people at bay?  I mean negative feelings can be crucial infomation as to what you are encountering in day to day life. 
Of course, if you are bitter and angry all the time, yes you will ruin your life, but I've witnessed him talking to others and it seems somewhat irrational or even outrageous to just 'sit there and be grateful, namaste' on every little thing, when you probably should not be. If I was the coach, I would counsel the person to use her discomfort and upset to be assertive and confront the doctor and seek remedy-and another doctor. I wouldn't tell her to be grateful for her other shoulder.  It's sort of like, ""I know I'm beating you almost to death, just be grateful for when I'm not.""",depression
The COVID 19 blues,"Wow, what a situation. Everyday. On the news. Thankfully I don't have to go out into the work force. Its just, plain sad. All the loss. 
I try to keep busy around the house. Limit my going out. Wear my mask, keep my hands clean. ",depression
